NumLancto;UnidPagadora;Fornecedor;Evento;ValorParcela;DataVencimento;DataPagamento;DataConciliacao
555;FRT;FAT MECANICA DIESEL LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;1655,43;10/08/26;10/08/26;        
640;FRT;FREITAS E FREITAS COMERCIO DE PECAS E SERVICOS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;1395,38;10/08/26;10/08/26;        
641;FRT;FREITAS E FREITAS COMERCIO DE PECAS E SERVICOS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;710,00;10/08/26;10/08/26;        
690;FRT;FAT MECANICA DIESEL LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;559,00;20/08/26;20/08/26;        
691;FRT;FAT MECANICA DIESEL LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;577,67;20/08/26;20/08/26;        
741;FRT;CINARA DE SOUZA MENDES;MANUTENCAO E CONSERVACAO DE VEICULOS;3620,00;10/08/26;10/08/26;        
748;FRT;SILVA E PRESOTTO - COMERCIO DE BATERIAS LTDA - ME;MANUTENCAO E CONSERVACAO DE VEICULOS;552,00;10/08/26;10/08/26;        
749;FRT;AUTO ELETRICA PICA FIO LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;433,34;10/08/26;10/08/26;        
752;FRT;FREITAS E FREITAS COMERCIO DE PECAS E SERVICOS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;375,00;20/08/26;20/08/26;        
783;FRT;VDL ELETRODIESEL COMERCIO DE PECAS E SERVICOS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;1639,40;20/08/26;20/08/26;        
820;FRT;VDL ELETRODIESEL COMERCIO DE PECAS E SERVICOS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;550,00;20/08/26;20/08/26;        
830;FRT;CONCESSIONARIA ROTA DAS BANDEIRAS;PEDAGIOS;51,32;03/08/26;03/08/26;03/08/26
448;MTZ;TATONELLA ADMINISTRACAO EIRELI ME;ALUGUEL DE EQUIPAMENTOS;11000,00;10/08/26;10/08/26;        
639;MTZ;BRUNO DA SILVA OLIVEIRA;ACERTO CONTA FORNECEDOR;666,00;10/08/26;10/08/26;        
661;MTZ;HDI SEGUROS SA;SEGURO DE VEICULOS;316,40;11/08/26;11/08/26;        
689;MTZ;BRADESCO AUTO RE;SEGUROS;112,56;25/08/26;25/08/26;        
705;MTZ;E4LOG SOLUCOES LOGISTICAS LTDA;ACERTO CONTA FORNECEDOR;92095,90;04/08/26;04/08/26;        
750;MTZ;BRUNO DA SILVA OLIVEIRA;MANUTENCAO E CONSERVACAO DE VEICULOS;440,00;10/08/26;10/08/26;        
751;MTZ;BWT LOGISTICA TRANSPORTES E LOCACOES LTDA;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;1350,00;10/08/26;10/08/26;        
756;MTZ;E4LOG SOLUCOES LOGISTICAS LTDA;ACERTO CONTA FORNECEDOR;93336,23;15/08/26;17/08/26;        
